IdBibliografia,Autore,Titolo,ISBN,new_authors,new_identifier
1,Ricci L.,Alcuni cenni storici di Cusercoli: omaggio al novello arciprete,,['Giordano Viroli'],"[{'type': 'OTHER', 'identifier': 'UOM:39015040706734'}]"
2,Zampa R.,Il castello e la chiesa di Polenta nella provincia di Forlì,,['Raffaello Zampa'],"[{'type': 'OTHER', 'identifier': 'OCLC:1001173233'}]"
3,Zambotti B.,Diario Ferrarese dell'anno 1476 sino al 1504: appendice al Diario Ferrarese di autori incerti,,['Bernardino Zambotti'],"[{'type': 'OTHER', 'identifier': 'OCLC:174376226'}]"
4,Zaghini F.,"Fiumana, l'abbazia, il paese e la parrocchia",,['Franco Zaghini'],"[{'type': 'OTHER', 'identifier': 'OCLC:79626048'}]"
5,Zaccaria G.,Meldola un castello una città: notizie storiche di Meldola e dei castelli del suo territorio,,['Giacomo Zaccaria'],"[{'type': 'OTHER', 'identifier': 'OCLC:963265524'}]"
6,Riva N.,La rocca di Meldola: da maniero a residenza principesca e testimone di una travolgente storia d'amore,,['Nicola Riva'],"[{'type': 'OTHER', 'identifier': 'OCLC:955876905'}]"
7,Giglioli D.,Argenta e i suoi dintorni,,['Dino Giglioli'],"[{'type': 'OTHER', 'identifier': 'OCLC:781047126'}]"
8,Bettoli G.,Il castello di Oriolo (Faenza),,['Giacomo Bettoli'],"[{'type': 'OTHER', 'identifier': 'OCLC:886518611'}]"
9,Gatti G.,La rocca di Bertinoro: culla nei secoli di potenza virtù sapere torna dopo un millennio,,"['Gemma Belli', 'Francesca Capano', 'Maria Ines Pascariello']","[{'type': 'ISBN_13', 'identifier': '9788899930028'}, {'type': 'ISBN_10', 'identifier': '8899930023'}]"
10,Cantarella G. M.,Innocenzo III e la Romagna,,['Friedrich Emanuel von Hurter'],"[{'type': 'OTHER', 'identifier': 'HARVARD:HWRL51'}]"
12,Tonduzzi G. C.,Historie di Faenza,,['Giulio Cesare Tonducci'],"[{'type': 'OTHER', 'identifier': 'IBNF:CF005636148'}]"
13,Foschini G.,Solarolo di Romagna: notizie e documenti,,['Giulio Foschini'],"[{'type': 'OTHER', 'identifier': 'OCLC:955837832'}]"
14,Ferraresi G.,Storia di Bondeno. Raccolta di documenti,,['Guerrino Ferraresi'],"[{'type': 'OTHER', 'identifier': 'UCAL:$B515709'}]"
15,Fasoli G.,Incognite della storia dell'Abbazia di Pomposa fra il IX e l'XI secolo,,['Gina Fasoli'],"[{'type': 'OTHER', 'identifier': 'OCLC:174784605'}]"
16,Angiolini E.,Oriolo (RA),,['Scipione Breislak'],"[{'type': 'OTHER', 'identifier': 'IBUR:BU101016213'}]"
17,Donati L.,Le origini di un castello manfrediano: le strutture difensive trecentesche di Solarolo,,['Antonio Metelli'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10987058'}]"
19,Donati D.,La rocca delle Caminate nella storia,,['Frederick W. Deakin'],"[{'type': 'ISBN_13', 'identifier': '9788866974390'}, {'type': 'ISBN_10', 'identifier': '8866974390'}]"
20,Cittadella L. N.,Notizie relative a Ferrara,,['Luigi Napoleone Cittadella'],"[{'type': 'OTHER', 'identifier': 'BSB:BSB10051705'}]"
21,Cittadella L. N.,Bondeno e la sua Chiesa Arcipretale,,['Luigi Napoleone Cittadella'],"[{'type': 'OTHER', 'identifier': 'IBCR:BC000034167'}]"
22,Cittadella L. N.,"Notizie amministrative, storiche, artistiche relative a Ferrara",,['Luigi Napoleone Cittadella'],"[{'type': 'OTHER', 'identifier': 'PRNC:32101078301312'}]"
23,,"Insediamento storico e beni culturali, comuni di Brisighella, Casola Valsenio, Modigliana, Riolo Terme, Tredozio",,"[""Istituto per i Beni Artistici, Culturali e Naturali dell'Emilia-Romagna (Bologna)""]","[{'type': 'OTHER', 'identifier': 'OCLC:799966332'}]"
24,,Rocche e bombarde fra Marche e Romagna nel XV secolo,,['Maurizio Mauro'],"[{'type': 'OTHER', 'identifier': 'LCCN:95232037'}]"
25,,"San Cassiano: un passato da conoscere, un futuro da inventare",,,"[{'type': 'OTHER', 'identifier': 'OCLC:955855158'}]"
26,Ceroni A.,Rocche e torri di Brisighella,,,"[{'type': 'OTHER', 'identifier': 'OCLC:955830228'}]"
27,,"Rocche e castelli di Romagna. II, Forlì, Cesena e il Cervese",,,"[{'type': 'OTHER', 'identifier': 'STANFORD:36105003731515'}]"
28,Aldini T.,Forlimpopoli: storia della città e del suo territorio,,['Tobia Aldini'],"[{'type': 'OTHER', 'identifier': 'OCLC:964267414'}]"
29,Amaducci P.,Notizie storiche su gli antichi conti di Bertinoro,,,"[{'type': 'OTHER', 'identifier': 'NYPL:33433081569836'}]"
30,Bonoli G.,Storia di Lugo ed annessi: libri tre: opera del P. Maestro F. Girolamo Bonoli Lughese,,['Girolamo Bonoli'],"[{'type': 'OTHER', 'identifier': 'IBSC:SC000002697'}]"
31,Bertoldi F. L.,Memorie storiche d'Argenta raccolte ed illustrate dal canonico D. F. L. Bertoldi,,,"[{'type': 'OTHER', 'identifier': 'IBNF:CF005856206'}]"
32,Bellini L.,Le saline dell'antico Delta Padano,,['Luigi Bellini'],"[{'type': 'OTHER', 'identifier': 'OCLC:248773346'}]"
33,Bedeschi A.,Granarolo di Faenza: il castello e la nuova chiesa: memorie storiche,,['Antonio Bedeschi'],"[{'type': 'OTHER', 'identifier': 'OCLC:875198402'}]"
